cpu_ts,rgb_ts,filename
1608115522713,1608115522626,RGB_619
1608115522747,1608115522660,RGB_620
1608115522780,1608115522694,RGB_621
1608115522851,1608115522729,RGB_622
1608115522872,1608115522763,RGB_623
1608115522906,1608115522797,RGB_624
1608115522947,1608115522831,RGB_625
1608115522981,1608115522866,RGB_626
1608115523014,1608115522905,RGB_627
1608115523047,1608115522939,RGB_628
1608115523073,1608115522974,RGB_629
1608115523107,1608115523008,RGB_630
1608115523140,1608115523042,RGB_631
1608115523174,1608115523077,RGB_632
1608115523207,1608115523111,RGB_633
1608115523241,1608115523146,RGB_634
1608115523274,1608115523180,RGB_635
1608115523307,1608115523214,RGB_636
1608115523340,1608115523249,RGB_637
1608115523377,1608115523283,RGB_638
1608115523411,1608115523317,RGB_639
1608115523444,1608115523351,RGB_640
1608115523482,1608115523386,RGB_641
1608115523508,1608115523420,RGB_642
1608115523544,1608115523454,RGB_643
1608115523575,1608115523488,RGB_644
1608115523612,1608115523523,RGB_645
1608115523645,1608115523557,RGB_646
1608115523675,1608115523591,RGB_647
1608115523709,1608115523625,RGB_648
1608115523742,1608115523660,RGB_649
1608115523776,1608115523694,RGB_650
1608115523809,1608115523728,RGB_651
1608115523842,1608115523762,RGB_652
1608115523876,1608115523797,RGB_653
1608115523909,1608115523831,RGB_654
1608115523943,1608115523865,RGB_655
1608115523976,1608115523899,RGB_656
1608115524009,1608115523934,RGB_657
1608115524042,1608115523968,RGB_658
1608115524076,1608115524002,RGB_659
1608115524114,1608115524037,RGB_660
1608115524148,1608115524071,RGB_661
1608115524181,1608115524105,RGB_662
1608115524259,1608115524139,RGB_663
1608115524323,1608115524174,RGB_664
1608115524356,1608115524208,RGB_665
1608115524390,1608115524242,RGB_666
1608115524424,1608115524276,RGB_667
1608115524458,1608115524311,RGB_668
1608115524490,1608115524345,RGB_669
1608115524524,1608115524379,RGB_670
1608115524558,1608115524413,RGB_671
1608115524592,1608115524448,RGB_672
1608115524625,1608115524482,RGB_673
1608115524658,1608115524516,RGB_674
1608115524692,1608115524550,RGB_675
1608115524726,1608115524585,RGB_676
1608115524759,1608115524619,RGB_677
1608115524792,1608115524653,RGB_678
1608115524827,1608115524687,RGB_679
1608115524859,1608115524722,RGB_680
1608115524901,1608115524756,RGB_681
1608115524928,1608115524790,RGB_682
1608115524962,1608115524824,RGB_683
1608115525000,1608115524859,RGB_684
1608115525026,1608115524893,RGB_685
1608115525059,1608115524927,RGB_686
1608115525092,1608115524961,RGB_687
1608115525126,1608115524996,RGB_688
1608115525159,1608115525030,RGB_689
1608115525193,1608115525064,RGB_690
1608115525227,1608115525099,RGB_691
1608115525260,1608115525133,RGB_692
1608115525294,1608115525167,RGB_693
1608115525335,1608115525201,RGB_694
1608115525369,1608115525236,RGB_695
1608115525403,1608115525270,RGB_696
1608115525436,1608115525304,RGB_697
1608115525477,1608115525338,RGB_698
1608115525502,1608115525373,RGB_699
1608115525537,1608115525407,RGB_700
1608115525569,1608115525441,RGB_701
1608115525603,1608115525475,RGB_702
1608115525637,1608115525510,RGB_703
1608115525670,1608115525544,RGB_704
1608115525703,1608115525578,RGB_705
1608115525737,1608115525612,RGB_706
1608115525770,1608115525647,RGB_707
1608115525804,1608115525681,RGB_708
1608115525844,1608115525715,RGB_709
1608115525871,1608115525749,RGB_710
1608115525906,1608115525784,RGB_711
1608115525937,1608115525818,RGB_712
1608115525971,1608115525852,RGB_713
1608115526004,1608115525886,RGB_714
1608115526038,1608115525921,RGB_715
1608115526071,1608115525955,RGB_716
1608115526105,1608115525989,RGB_717
1608115526138,1608115526023,RGB_718
1608115526173,1608115526058,RGB_719
1608115526205,1608115526092,RGB_720
1608115526239,1608115526126,RGB_721
1608115526272,1608115526160,RGB_722
1608115526305,1608115526195,RGB_723
1608115526338,1608115526229,RGB_724
1608115526372,1608115526263,RGB_725
1608115526406,1608115526298,RGB_726
1608115526452,1608115526332,RGB_727
1608115526511,1608115526366,RGB_728
1608115526545,1608115526400,RGB_729
1608115526578,1608115526435,RGB_730
1608115526609,1608115526469,RGB_731
1608115526642,1608115526503,RGB_732
1608115526675,1608115526537,RGB_733
1608115526712,1608115526572,RGB_734
1608115526745,1608115526606,RGB_735
1608115526779,1608115526640,RGB_736
1608115526813,1608115526674,RGB_737
1608115526846,1608115526709,RGB_738
1608115526879,1608115526743,RGB_739
1608115526913,1608115526777,RGB_740
1608115526947,1608115526811,RGB_741
1608115526977,1608115526846,RGB_742
1608115527010,1608115526880,RGB_743
1608115527047,1608115526914,RGB_744
1608115527080,1608115526948,RGB_745
1608115527114,1608115526983,RGB_746
1608115527148,1608115527017,RGB_747
1608115527181,1608115527051,RGB_748
1608115527214,1608115527085,RGB_749
1608115527248,1608115527120,RGB_750
1608115527281,1608115527154,RGB_751
1608115527314,1608115527188,RGB_752
1608115527345,1608115527222,RGB_753
1608115527382,1608115527257,RGB_754
1608115527415,1608115527291,RGB_755
1608115527448,1608115527325,RGB_756
1608115527482,1608115527360,RGB_757
1608115527516,1608115527394,RGB_758
1608115527549,1608115527428,RGB_759
1608115527583,1608115527462,RGB_760
1608115527612,1608115527497,RGB_761
1608115527646,1608115527531,RGB_762
1608115527679,1608115527565,RGB_763
1608115527713,1608115527599,RGB_764
1608115527746,1608115527634,RGB_765
1608115527779,1608115527668,RGB_766
1608115527816,1608115527702,RGB_767
1608115527869,1608115527736,RGB_768
1608115527902,1608115527771,RGB_769
1608115527936,1608115527805,RGB_770
1608115527969,1608115527839,RGB_771
1608115528003,1608115527873,RGB_772
1608115528041,1608115527907,RGB_773
1608115528074,1608115527942,RGB_774
1608115528107,1608115527976,RGB_775
1608115528145,1608115528011,RGB_776
1608115528174,1608115528046,RGB_777
1608115528204,1608115528080,RGB_778
1608115528237,1608115528115,RGB_779
1608115528271,1608115528150,RGB_780
1608115528304,1608115528184,RGB_781
1608115528338,1608115528219,RGB_782
1608115528371,1608115528254,RGB_783
1608115528404,1608115528288,RGB_784
1608115528439,1608115528323,RGB_785
1608115528471,1608115528358,RGB_786
1608115528505,1608115528392,RGB_787
1608115528539,1608115528427,RGB_788
1608115528572,1608115528462,RGB_789
1608115528606,1608115528496,RGB_790
1608115528639,1608115528531,RGB_791
1608115528673,1608115528566,RGB_792
1608115528707,1608115528601,RGB_793
1608115528747,1608115528635,RGB_794
1608115528773,1608115528670,RGB_795
1608115528806,1608115528705,RGB_796
1608115528839,1608115528739,RGB_797
1608115528872,1608115528774,RGB_798
1608115528905,1608115528809,RGB_799
1608115528939,1608115528844,RGB_800
1608115528972,1608115528878,RGB_801
1608115529006,1608115528913,RGB_802
1608115529039,1608115528948,RGB_803
1608115529073,1608115528982,RGB_804
1608115529106,1608115529016,RGB_805
1608115529140,1608115529051,RGB_806
1608115529180,1608115529085,RGB_807
1608115529210,1608115529119,RGB_808
1608115529240,1608115529153,RGB_809
1608115529281,1608115529187,RGB_810
1608115529307,1608115529222,RGB_811
1608115529341,1608115529256,RGB_812
1608115529374,1608115529290,RGB_813
1608115529407,1608115529324,RGB_814
1608115529440,1608115529359,RGB_815
1608115529475,1608115529393,RGB_816
1608115529507,1608115529427,RGB_817
1608115529541,1608115529461,RGB_818
1608115529574,1608115529495,RGB_819
1608115529608,1608115529530,RGB_820
1608115529642,1608115529564,RGB_821
1608115529678,1608115529598,RGB_822
1608115529710,1608115529632,RGB_823
1608115529742,1608115529667,RGB_824
1608115529775,1608115529701,RGB_825
1608115529809,1608115529735,RGB_826
1608115529842,1608115529769,RGB_827
1608115529876,1608115529803,RGB_828
1608115529909,1608115529838,RGB_829
1608115529942,1608115529872,RGB_830
1608115529976,1608115529906,RGB_831
1608115530010,1608115529940,RGB_832
1608115530050,1608115529974,RGB_833
1608115530084,1608115530009,RGB_834
1608115530117,1608115530043,RGB_835
1608115530144,1608115530078,RGB_836
1608115530176,1608115530113,RGB_837
1608115530210,1608115530147,RGB_838
1608115530243,1608115530182,RGB_839
1608115530277,1608115530216,RGB_840
1608115530310,1608115530251,RGB_841
1608115530344,1608115530286,RGB_842
1608115530377,1608115530320,RGB_843
1608115530411,1608115530355,RGB_844
1608115530447,1608115530390,RGB_845
1608115530481,1608115530424,RGB_846
1608115530514,1608115530459,RGB_847
1608115530546,1608115530494,RGB_848
1608115530619,1608115530528,RGB_849
1608115530652,1608115530563,RGB_850
1608115530685,1608115530597,RGB_851
1608115530712,1608115530632,RGB_852
1608115530745,1608115530667,RGB_853
1608115530778,1608115530701,RGB_854
1608115530812,1608115530736,RGB_855
1608115530846,1608115530771,RGB_856
1608115530879,1608115530805,RGB_857
1608115530912,1608115530840,RGB_858
1608115530946,1608115530875,RGB_859
1608115530979,1608115530909,RGB_860
1608115531013,1608115530944,RGB_861
1608115531046,1608115530979,RGB_862
1608115531080,1608115531009,RGB_863
1608115531113,1608115531043,RGB_864
1608115531154,1608115531078,RGB_865
1608115531180,1608115531112,RGB_866
1608115531213,1608115531147,RGB_867
1608115531246,1608115531181,RGB_868
1608115531280,1608115531215,RGB_869
1608115531313,1608115531250,RGB_870
1608115531347,1608115531284,RGB_871
1608115531380,1608115531318,RGB_872
1608115531414,1608115531352,RGB_873
1608115531447,1608115531387,RGB_874
1608115531480,1608115531421,RGB_875
1608115531517,1608115531455,RGB_876
1608115531552,1608115531490,RGB_877
