cpu_ts,timestamp,acc_x,acc_y,acc_z,timestamp,gyro_x,gyro_y,gyro_z
1608115976642,1608115976630,0.382459,-9.228058,-1.676937,1608115976642,-0.003491,0.000000,0.001745
1608115976659,1608115976649,0.304006,-9.267284,-1.794617,1608115976657,-0.001745,0.001745,0.000000
1608115976676,1608115976665,0.284393,-9.286898,-1.755390,1608115976676,0.000000,0.001745,-0.001745
1608115976693,1608115976681,0.362846,-9.326124,-1.814230,1608115976691,0.000000,0.000000,-0.001745
1608115976710,1608115976697,0.343233,-9.228058,-1.814230,1608115976708,-0.001745,0.000000,0.000000
1608115976727,1608115976717,0.343233,-9.365351,-1.873070,1608115976726,-0.001745,-0.003491,0.000000
1608115976743,1608115976733,0.362846,-9.306511,-1.735777,1608115976742,0.000000,0.001745,-0.003491
1608115976760,1608115976748,0.343233,-9.345737,-1.833843,1608115976759,0.000000,0.000000,-0.001745
1608115976777,1608115976764,0.343233,-9.306511,-1.716164,1608115976776,0.000000,0.001745,0.000000
1608115976794,1608115976784,0.382459,-9.345737,-1.833843,1608115976792,0.000000,0.000000,0.000000
1608115976811,1608115976800,0.343233,-9.267284,-1.657324,1608115976810,0.000000,0.003491,-0.001745
1608115976827,1608115976816,0.382459,-9.286898,-1.794617,1608115976825,-0.001745,0.001745,0.000000
1608115976844,1608115976832,0.362846,-9.228058,-1.676937,1608115976843,-0.005236,-0.001745,0.000000
1608115976861,1608115976851,0.343233,-9.286898,-1.833843,1608115976860,0.001745,0.001745,0.001745
1608115976878,1608115976867,0.323619,-9.267284,-1.637710,1608115976876,0.000000,0.005236,0.000000
1608115976895,1608115976883,0.323619,-9.326124,-1.971137,1608115976893,-0.003491,0.001745,0.000000
1608115976911,1608115976899,0.304006,-9.247671,-1.794617,1608115976910,-0.001745,0.001745,-0.001745
1608115976928,1608115976919,0.343233,-9.345737,-1.873070,1608115976927,-0.003491,0.000000,0.003491
1608115976945,1608115976934,0.323619,-9.267284,-1.627904,1608115976944,-0.001745,0.001745,0.003491
1608115976962,1608115976950,0.362846,-9.326124,-1.833843,1608115976961,-0.003491,0.003491,-0.003491
1608115976979,1608115976966,0.343233,-9.286898,-1.833843,1608115976977,0.000000,0.005236,0.000000
1608115976995,1608115976986,0.343233,-9.345737,-1.716164,1608115976995,0.000000,0.001745,0.000000
1608115977012,1608115977002,0.382459,-9.267284,-1.676937,1608115977011,0.000000,0.001745,0.000000
1608115977029,1608115977017,0.362846,-9.306511,-1.775004,1608115977027,0.000000,0.001745,0.000000
1608115977046,1608115977033,0.323619,-9.306511,-1.716164,1608115977045,-0.001745,0.001745,0.000000
1608115977062,1608115977053,0.382459,-9.267284,-1.716164,1608115977060,-0.001745,0.005236,0.000000
1608115977079,1608115977069,0.323619,-9.286898,-1.755390,1608115977077,-0.001745,0.005236,0.000000
1608115977096,1608115977085,0.343233,-9.267284,-1.833843,1608115977095,-0.005236,0.003491,0.000000
1608115977130,1608115977120,0.343233,-9.286898,-1.892683,1608115977128,-0.001745,0.000000,0.000000
1608115977146,1608115977136,0.362846,-9.247671,-1.657324,1608115977145,-0.003491,0.006981,0.000000
1608115977163,1608115977152,0.323619,-9.286898,-1.853457,1608115977162,-0.001745,0.000000,0.003491
1608115977180,1608115977168,0.343233,-9.306511,-1.735777,1608115977180,-0.001745,0.005236,0.000000
1608115977197,1608115977184,0.304006,-9.345737,-1.775004,1608115977196,0.000000,0.001745,-0.001745
1608115977213,1608115977199,0.382459,-9.286898,-1.853457,1608115977212,-0.001745,0.001745,0.001745
1608115977230,1608115977219,0.402073,-9.286898,-1.814230,1608115977229,0.000000,0.001745,-0.001745
1608115977247,1608115977235,0.362846,-9.326124,-1.657324,1608115977246,-0.003491,0.001745,0.000000
1608115977264,1608115977255,0.264780,-9.365351,-1.853457,1608115977262,0.000000,0.003491,0.000000
1608115977287,1608115977271,0.343233,-9.228058,-1.755390,1608115977287,-0.003491,0.005236,0.001745
1608115977304,1608115977294,0.304006,-9.228058,-1.657324,1608115977302,0.000000,0.000000,-0.003491
1608115977321,1608115977310,0.402073,-9.326124,-1.755390,1608115977320,-0.001745,0.003491,0.000000
1608115977338,1608115977326,0.362846,-9.267284,-1.676937,1608115977337,0.000000,0.001745,-0.001745
1608115977355,1608115977346,0.284393,-9.326124,-1.853457,1608115977354,-0.001745,0.001745,0.000000
1608115977371,1608115977361,0.362846,-9.306511,-1.853457,1608115977370,0.000000,0.003491,0.003491
1608115977388,1608115977377,0.382459,-9.267284,-1.637710,1608115977387,0.000000,0.003491,0.005236
1608115977405,1608115977397,0.284393,-9.306511,-1.833843,1608115977404,0.000000,0.000000,0.000000
1608115977422,1608115977413,0.362846,-9.286898,-1.696550,1608115977420,0.000000,0.000000,0.000000
1608115977438,1608115977429,0.343233,-9.326124,-1.892683,1608115977437,-0.001745,0.003491,0.000000
1608115977455,1608115977445,0.323619,-9.306511,-1.716164,1608115977454,-0.003491,-0.001745,0.000000
1608115977472,1608115977464,0.304006,-9.228058,-1.814230,1608115977471,0.000000,0.001745,0.000000
1608115977489,1608115977480,0.343233,-9.286898,-1.794617,1608115977488,-0.003491,0.001745,0.000000
1608115977506,1608115977496,0.402073,-9.247671,-1.696550,1608115977505,0.000000,0.001745,0.000000
1608115977522,1608115977512,0.343233,-9.267284,-1.735777,1608115977521,0.000000,0.003491,0.000000
1608115977539,1608115977528,0.362846,-9.365351,-1.814230,1608115977539,0.000000,0.000000,-0.001745
1608115977556,1608115977547,0.304006,-9.365351,-1.912297,1608115977555,-0.001745,0.000000,0.000000
1608115977573,1608115977563,0.382459,-9.286898,-1.775004,1608115977572,-0.005236,0.006981,0.000000
1608115977590,1608115977579,0.382459,-9.306511,-1.853457,1608115977589,0.000000,0.000000,0.000000
1608115977607,1608115977583,0.362846,-9.247671,-1.696550,1608115977594,0.000000,0.000000,0.001745
1608115977626,1608115977603,0.304006,-9.404577,-1.794617,1608115977626,0.000000,0.000000,-0.001745
1608115977643,1608115977619,0.343233,-9.228058,-1.696550,1608115977643,-0.003491,0.000000,-0.001745
1608115977660,1608115977623,0.323619,-9.326124,-1.794617,1608115977644,-0.001745,0.005236,0.000000
1608115977681,1608115977638,0.304006,-9.247671,-1.794617,1608115977681,-0.001745,0.001745,0.000000
1608115977698,1608115977662,0.264780,-9.286898,-1.696550,1608115977697,-0.003491,0.003491,-0.003491
1608115977714,1608115977686,0.362846,-9.286898,-1.696550,1608115977714,-0.003491,0.005236,0.000000
1608115977731,1608115977714,0.304006,-9.306511,-1.833843,1608115977730,-0.003491,0.001745,0.003491
1608115977748,1608115977741,0.343233,-9.247671,-1.775004,1608115977746,-0.001745,0.003491,0.000000
1608115977765,1608115977757,0.362846,-9.384964,-1.853457,1608115977764,-0.003491,0.000000,0.000000
