acq_time,save_time,stat_time,cycle_time,sleep_time,slow_cycles_cnt
3.120327,8.283630,0.000128,11.404085,5.180415,10
3.120303,8.353581,0.000124,11.474008,5.262582,10
3.148919,8.881609,0.000135,12.030663,5.192659,10
3.125312,8.728474,0.000121,11.853907,4.636004,10
3.094855,8.673711,0.000201,11.768767,4.812760,10
3.084022,7.950537,0.000047,11.034606,4.897900,10
3.091660,7.930920,0.000140,11.022720,5.632061,10
3.087347,8.779834,0.000096,11.867277,5.643947,10
3.091026,8.813321,0.000113,11.904460,4.799390,10
3.130871,9.095092,0.000139,12.226102,4.762207,10
3.130205,8.065565,0.000101,11.195871,4.440565,10
3.120635,8.388554,0.000149,11.509338,5.470796,10
3.109621,8.046948,0.000149,11.156718,5.157329,10
3.133633,8.866290,0.000165,12.000088,5.509949,10
3.111538,8.725781,0.000134,11.837453,4.666579,10
3.086517,8.623103,8.975495,20.685115,4.829214,10
3.105906,8.040804,0.000127,11.146837,-4.018448,11
3.082034,7.864895,0.000109,10.947038,5.519830,11
3.084380,8.030145,0.000102,11.114627,5.719629,11
3.098210,8.404876,0.000110,11.503196,5.552040,11
3.128753,7.880085,0.000124,11.008962,5.163471,11
3.137273,8.812647,0.000149,11.950069,5.657705,11
3.081361,8.320679,0.000177,11.402217,4.716598,11
3.081895,8.233286,0.000160,11.315341,5.264450,11
3.126203,8.155193,0.000127,11.281523,5.351326,11
3.132784,8.266157,0.000103,11.399044,5.385144,11
3.094713,8.229205,0.000110,11.324028,5.267623,11
3.120224,8.039276,0.000119,11.159619,5.342639,11
3.102525,8.037319,0.000093,11.139937,5.507048,11
3.085961,11.854387,0.000099,14.940447,5.526730,11
3.094460,10.860992,0.000055,13.955507,1.726220,11
3.088987,7.908234,0.000123,10.997344,2.711160,11
3.131070,8.975095,0.000094,12.106259,5.669323,11
3.110350,9.539292,0.000130,12.649772,4.560408,11
3.110226,9.578979,0.000082,12.689287,4.016895,11
3.150260,7.905247,0.000122,11.055629,3.977380,11
3.082721,8.134897,0.000144,11.217762,5.611038,11
3.142958,7.845126,0.000202,10.988286,5.448905,11
